Date,Price,Open,High,Low,Chg%
"Oct 29, 2018",31888,31903,32020,31846,-0.15%
"Oct 30, 2018",31837,31919,31939,31760,-0.16%
"Oct 31, 2018",31748,31851,31899,31711,-0.28%
"Nov 01, 2018",31892,31787,31938,31745,0.45%
"Nov 02, 2018",31750,31821,31835,31600,-0.45%
"Nov 05, 2018",31702,31736,31835,31681,-0.15%
"Nov 06, 2018",31646,31718,31876,31632,-0.18%
"Nov 07, 2018",31589,31687,31687,31551,-0.18%
"Nov 08, 2018",31406,31501,31501,31212,-0.58%
"Nov 09, 2018",31016,31310,31372,30942,-1.24%
"Nov 12, 2018",31001,31100,31169,30969,-0.05%
"Nov 13, 2018",30769,30909,30919,30751,-0.75%
"Nov 14, 2018",30822,30704,30846,30605,0.17%
"Nov 15, 2018",30821,30924,30937,30720,0.00%
"Nov 16, 2018",31007,30845,31147,30810,0.60%
"Nov 19, 2018",30879,31010,31040,30765,-0.41%
"Nov 20, 2018",30814,30787,30990,30758,-0.21%
"Nov 21, 2018",30825,30775,30895,30725,0.04%
"Nov 22, 2018",30609,30855,30880,30568,-0.70%
"Nov 23, 2018",30495,30540,30548,30412,-0.37%
"Nov 26, 2018",30547,30471,30661,30445,0.17%
"Nov 27, 2018",30402,30563,30630,30365,-0.47%
"Nov 28, 2018",30434,30365,30578,30250,0.11%
"Nov 29, 2018",30204,30338,30339,30155,-0.76%
"Nov 30, 2018",30240,30195,30358,30107,0.12%
"Dec 03, 2018",30748,30392,30853,30392,1.68%
"Dec 04, 2018",30952,30786,31019,30751,0.66%
"Dec 05, 2018",30847,30901,30901,30810,-0.34%
"Dec 06, 2018",31089,31150,31296,31062,0.78%
"Dec 07, 2018",31595,31071,32021,31024,1.63%
"Dec 10, 2018",32028,31647,32118,31530,1.37%
"Dec 11, 2018",31935,31949,31988,31740,-0.29%
"Dec 12, 2018",31732,31817,31838,31692,-0.64%
"Dec 13, 2018",31527,31636,31698,31486,-0.65%
"Dec 14, 2018",31553,31568,31641,31503,0.08%
"Dec 17, 2018",31630,31496,31659,31411,0.24%
"Dec 18, 2018",31163,31530,31563,31134,-1.48%
"Dec 19, 2018",31227,31100,31344,31064,0.21%
"Dec 20, 2018",31311,31159,31343,31002,0.27%
"Dec 21, 2018",31193,31244,31387,31148,-0.38%
"Dec 24, 2018",31460,31300,31470,31270,0.86%
"Dec 26, 2018",31559,31470,31740,31470,0.31%
"Dec 27, 2018",31713,31500,31768,31500,0.49%
"Dec 28, 2018",31598,31665,31734,31585,-0.36%
"Dec 31, 2018",31391,31571,31595,31300,-0.66%
"Jan 01, 2019",31422,31409,31461,31357,0.10%
"Jan 02, 2019",31610,31421,31704,31369,0.60%
"Jan 03, 2019",31789,31700,31938,31681,0.57%
"Jan 04, 2019",31456,31879,31879,31441,-1.05%
"Jan 07, 2019",31648,31529,31758,31448,0.61%
"Jan 08, 2019",31741,31618,31760,31565,0.29%
"Jan 09, 2019",32001,31633,32023,31633,0.82%
"Jan 10, 2019",31880,32048,32135,31853,-0.38%
"Jan 11, 2019",31928,31953,32076,31895,0.15%
"Jan 14, 2019",32141,31989,32220,31975,0.67%
"Jan 15, 2019",32180,32130,32277,32110,0.12%
"Jan 16, 2019",32286,32198,32307,32110,0.33%
"Jan 17, 2019",32268,32290,32390,32205,-0.06%
"Jan 18, 2019",32091,32276,32319,32055,-0.55%
"Jan 21, 2019",32043,32044,32195,31985,-0.15%
"Jan 22, 2019",32160,31998,32194,31957,0.37%
"Jan 23, 2019",32140,32159,32217,32057,-0.06%
"Jan 24, 2019",32013,32138,32151,31981,-0.40%
"Jan 25, 2019",32343,32032,32382,32009,1.03%
"Jan 28, 2019",32547,32340,32589,32340,0.63%
"Jan 29, 2019",32900,32545,32939,32545,1.08%
"Jan 30, 2019",32899,32918,32989,32827,0.00%
"Jan 31, 2019",33056,32988,33272,32925,0.48%
"Feb 01, 2019",33405,33057,33464,32953,1.06%
"Feb 04, 2019",33339,33750,33750,33180,-0.20%
